"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.266667,,
"AUT","Austria","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,5.233333,,
"AUT","Austria","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,4.866667,,
"AUT","Austria","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,4.533333,,
"AUT","Austria","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,4.633333,,
"AUT","Austria","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,4.3,,
"AUT","Austria","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.566667,,
"AUT","Austria","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.633333,,
"AUT","Austria","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,5.8,,
"AUT","Austria","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,4.766667,,
"AUT","Austria","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,4.5,,
"AUT","Austria","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,4.433333,,
"AUT","Austria","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,4.233333,,
"AUT","Austria","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.5,,
"AUT","Austria","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.433333,,
"AUT","Austria","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,5.5,,
"BEL","Belgium","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,5.033333,,
"BEL","Belgium","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,5.066667,,
"BEL","Belgium","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,5,,
"BEL","Belgium","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,4.7,,
"BEL","Belgium","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.933333,,
"BEL","Belgium","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,4.8,,
"BEL","Belgium","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,4.833333,,
"BEL","Belgium","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,6.033333,,
"BEL","Belgium","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,5.8,,
"BEL","Belgium","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,5.466667,,
"BEL","Belgium","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,5.7,,
"BEL","Belgium","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,5.1,,
"BEL","Belgium","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.3,,
"BEL","Belgium","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,5.333333,,
"BEL","Belgium","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,5.533333,,
"BEL","Belgium","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,5.466667,,
"BEL","Belgium","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,5.233333,,
