,Country,unemployment_rate,quarter,year,GDP_growth_rate_change_quart,GDP_growth_rate_change_year,GDP_per_capita
74,Hungary,4.6,Q2,2020,-13.520970665,-14.582654077,29971.6
75,Iceland,3.1,Q1,2019,1.862685903,-1.6185129319999998,58932.0
76,Iceland,3.3666669999999996,Q2,2019,1.62910606,0.464414159,59679.7
77,Iceland,3.4666669999999997,Q3,2019,1.31610605,-0.5294124,59426.1
78,Iceland,3.5333330000000003,Q4,2019,2.930480922,4.6944548,62374.8
79,Iceland,3.733333,Q1,2020,-1.312603647,-5.674075152,58848.2
80,Iceland,4.3,Q2,2020,-10.727290193,-9.119798246,53536.0
81,Iceland,5.2,Q3,2020,,,
82,Ireland,5.033333,Q1,2019,3.6583761310000003,1.035206842,87409.2
83,Ireland,5.1666669999999995,Q2,2019,5.219913169,1.9109905219999999,89377.3
84,Ireland,4.966667,Q3,2019,6.830288801,3.275981313,92283.3
85,Ireland,4.633333,Q4,2019,7.740694529,1.3180174070000001,93735.2
86,Ireland,4.933333,Q1,2020,4.446018266,-2.054417735,92061.8
87,Ireland,4.866667,Q2,2020,-3.7262187910000004,-6.062896727999999,85792.9
88,Ireland,5.266667,Q3,2020,,,
89,Italy,10.4,Q1,2019,0.354635835,0.179225954,43653.4
90,Italy,10.03333,Q2,2019,0.405901434,0.14568368,44187.1
91,Italy,9.633333,Q3,2019,0.491825014,0.011459026,44448.6
92,Italy,9.533334,Q4,2019,0.10527812,-0.230612508,44551.2
93,Italy,9.1,Q1,2020,-5.558467632,-5.488703611,42317.1
94,Italy,8.466666,Q2,2020,-17.934324272999998,-12.977659337999999,36632.6
95,Italy,9.7,Q3,2020,-4.717753714,16.118174692,
96,Japan,2.4666669999999997,Q1,2019,0.83023793,0.709823394,42657.5
97,Japan,2.3666669999999996,Q2,2019,0.869366402,0.406960968,43375.3
98,Japan,2.333333,Q3,2019,1.7451085880000001,0.049785185,44121.2
99,Japan,2.266667,Q4,2019,-0.6650139629999999,-1.81380781,43294.1
100,Japan,2.433333,Q1,2020,-1.9256474430000001,-0.568257776,43243.4
101,Japan,2.766667,Q2,2020,-10.289896686,-8.156224263,39506.5
102,Japan,2.9666669999999997,Q3,2020,-5.8898418679999995,4.956975381,41865.7
103,South Korea,3.933333,Q1,2019,1.7252155040000001,-0.339694341,42395.0
104,South Korea,4.0,Q2,2019,2.12823508,1.014142649,42941.9
105,South Korea,3.5,Q3,2019,1.923495838,0.37545505700000004,43120.0
106,South Korea,3.6,Q4,2019,2.374366485,1.311630082,43704.5
107,South Korea,3.7,Q1,2020,1.406705515,-1.281701518,43242.2
108,South Korea,4.2,Q2,2020,-2.7774867530000003,-3.153851888,41827.3
109,South Korea,3.766667,Q3,2020,-1.270959717,1.9308390080000002,
110,Luxembourg,5.4,Q1,2019,0.216492591,0.01869894,117894.0
111,Luxembourg,5.7,Q2,2019,3.071391694,2.154830271,121330.0
112,Luxembourg,5.633333,Q3,2019,2.964202202,0.403184297,121911.8
113,Luxembourg,5.566667,Q4,2019,2.96629971,0.370829119,122562.4
114,Luxembourg,5.966667,Q1,2020,1.53208535,-1.3744583819999998,120798.1
115,Luxembourg,7.533333,Q2,2020,-7.75921543,-7.193458507999999,110638.0
116,Luxembourg,6.9,Q3,2020,,,
117,Mexico,3.43485,Q1,2019,0.36772766700000004,0.261182403,20842.2
118,Mexico,3.600025,Q2,2019,0.23598068600000002,-0.09531920699999999,20921.4
119,Mexico,3.5204690000000003,Q3,2019,-0.123235573,-0.198749289,20897.3
120,Mexico,3.423411,Q4,2019,-0.6710435,-0.637792726,20775.1
121,Mexico,3.4648550000000005,Q1,2020,-2.1558044880000002,-1.23751342,20553.5
122,Mexico,4.873412999999999,Q2,2020,-18.663810763,-16.950964949,16899.9
123,Mexico,4.935169999999999,Q3,2020,-8.625736774,12.118183042,
124,Netherlands,3.433333,Q1,2019,1.749510416,0.5068845820000001,58774.2
125,Netherlands,3.333333,Q2,2019,1.5003782369999998,0.357657943,59418.4
